"","ID","NP.1","NP.2","NP.3","NP.4","NP.5","NP.6","NS.1","NS.2","NS.3","NS.4","NS.5","NS.6","logFC","AveExpr","t","pVal","adjPVal","B"
"88","GB51967",9,1,14,13,11,19,33,39,52,52,59,74,-1.39412862729476,1.55419538370951,-4.75932906570886,2.23998308980036e-05,0.00301476323233846,2.29506091056855
"89","GB53778",221,108,302,374,349,413,533,620,1150,770,1014,1041,-0.617000366908352,5.88441355818883,-4.73550886449633,2.41923609697074e-05,0.00301476323233846,2.56419728835718
"90","GB42184",440,172,395,507,658,956,1626,1487,1762,1902,2686,1917,-1.04191057366322,6.85617756976642,-4.68805577159565,2.8194290939309e-05,0.00321772363333321,2.42880992783426
"91","GB47086",17,3,13,23,13,34,36,64,133,58,139,133,-1.54208026132955,2.39338003617788,-4.67645815253957,2.92674310724047e-05,0.00321772363333321,2.23764756529032
"92","GB47478",2294,1448,2873,3893,2199,3188,2519,2890,2943,2956,3510,2920,0.713220995068738,8.53423992073637,4.67533824665134,2.93731594610692e-05,0.00321772363333321,2.37146091505292
"93","GB48255",489,351,593,1305,531,854,545,723,674,526,742,648,0.917939569001265,6.33705725770869,4.68239191144451,2.87134492636774e-05,0.00321772363333321,2.40671529628398
"94","GB48857",118,107,174,278,173,232,192,201,233,166,294,195,0.618575984900979,4.70775828988686,4.68911656497616,2.80980886519511e-05,0.00321772363333321,2.41836473691047
"95","GB50870",534,866,670,1540,629,544,512,690,633,380,523,447,1.48558875825708,6.32730372587803,4.67934904797336,2.89962334886721e-05,0.00321772363333321,2.39739548652191
"96","GB53880",248,191,367,567,340,464,410,436,583,507,582,408,0.455539706281229,5.72388951159908,4.68133939741331,2.88109549917685e-05,0.00321772363333321,2.39481473359997
"97","GB54312",222,281,261,587,261,239,281,306,258,182,250,261,1.09011787523878,5.17182819452498,4.68675232644378,2.83129427589875e-05,0.00321772363333321,2.40597252336859
"98","GB48338",180,128,291,419,281,305,304,243,168,167,209,212,1.17427720581445,4.96471801077884,4.66581583234921,3.02874601518883e-05,0.00328402603646903,2.3448323567782
"99","GB44514",307,138,623,595,439,697,290,401,569,637,597,340,0.841654514781363,5.9157453654307,4.66182498102472,3.06789135136403e-05,0.00329287005046406,2.33701638848443
"100","GB45653",338,213,495,499,398,395,490,414,421,386,326,283,0.896531585806963,5.69395965878515,4.65102416055892,3.17634601917392e-05,0.00333259939484676,2.3016726935851
